Name,Team,Number,Position,Age,Height,Weight,College,Salary
Aaron Brooks,Chicago Bulls,0,PG,31,36678,161,Oregon,2250000
Aaron Gordon,Orlando Magic,0,PF,20,43625,220,Arizona,4171680
Aaron Harrison,Charlotte Hornets,9,SG,21,43622,210,Kentucky,525093
Adreian Payne,Minnesota Timberwolves,33,PF,25,43626,237,Michigan State,1938840
Al Horford,Atlanta Hawks,15,C,30,43626,245,Florida,12000000
Alan Anderson,Washington Wizards,6,SG,33,43622,220,Michigan State,4000000
Alan Williams,Phoenix Suns,15,C,23,43624,260,UC Santa Barbara,83397
Alec Burks,Utah Jazz,10,SG,24,43622,214,Colorado,9463484
Alex Len,Phoenix Suns,21,C,22,43647,260,Maryland,3807120
Al-Farouq Aminu,Portland Trail Blazers,8,SF,25,43625,215,Wake Forest,8042895
Allen Crabbe,Portland Trail Blazers,23,SG,24,43622,210,California,947276
Alonzo Gee,New Orleans Pelicans,15,SF,29,43622,225,Alabama,1320000
Andre Drummond,Detroit Pistons,0,C,22,43627,279,Connecticut,3272091
Andre Iguodala,Golden State Warriors,9,SF,32,43622,215,Arizona,11710456
Andre Miller,San Antonio Spurs,24,PG,40,43619,200,Utah,250750
Andre Roberson,Oklahoma City Thunder,21,SG,24,43623,210,Colorado,1210800
Andrew Bogut,Golden State Warriors,12,C,31,36708,260,Utah,13800000
Andrew Goudelock,Houston Rockets,0,PG,27,43619,200,Charleston,200600
Andrew Nicholson,Orlando Magic,44,PF,26,43625,250,St. Bonaventure,2380593
Andrew Wiggins,Minnesota Timberwolves,22,SG,21,43624,199,Kansas,5758680
Anthony Brown,Los Angeles Lakers,3,SF,23,43623,210,Stanford,700000
Anthony Davis,New Orleans Pelicans,23,PF,23,43626,253,Kentucky,7070730
Anthony Morrow,Oklahoma City Thunder,2,SG,30,43621,210,Georgia Tech,3344000
Anthony Tolliver,Detroit Pistons,43,PF,31,43624,240,Creighton,3000000
Archie Goodwin,Phoenix Suns,20,SG,21,43621,200,Kentucky,1160160
Aron Baynes,Detroit Pistons,12,C,29,43626,260,Washington State,6500000
Arron Afflalo,New York Knicks,4,SG,30,43621,210,UCLA,8000000
Austin Rivers,Los Angeles Clippers,25,PG,23,43620,200,Duke,3110796
Avery Bradley,Boston Celtics,0,PG,25,43618,180,Texas,7730337
Ben McLemore,Sacramento Kings,23,SG,23,43621,195,Kansas,3156600
Blake Griffin,Los Angeles Clippers,32,PF,27,43626,251,Oklahoma,18907726
Bobby Portis,Chicago Bulls,5,PF,21,43627,230,Arkansas,1391160
Bradley Beal,Washington Wizards,3,SG,22,43621,207,Florida,5694674
Brandan Wright,Memphis Grizzlies,34,PF,28,43626,210,North Carolina,5464000
Branden Dawson,Los Angeles Clippers,22,SF,23,43622,225,Michigan State,525093
Brandon Bass,Los Angeles Lakers,2,PF,31,43624,250,LSU,3000000
Brandon Knight,Phoenix Suns,3,PG,24,43619,189,Kentucky,13500000
Brandon Rush,Golden State Warriors,4,SF,30,43622,220,Kansas,1270964
Brian Roberts,Portland Trail Blazers,2,PG,30,43617,173,Dayton,2854940
Brook Lopez,Brooklyn Nets,11,C,28,36708,275,Stanford,19689000
Bryce Cotton,Memphis Grizzlies,8,PG,23,43617,165,Providence,700902
Bryce Dejean-Jones,New Orleans Pelicans,31,SG,23,43622,203,Iowa State,169883
C.J. McCollum,Portland Trail Blazers,3,SG,24,43620,200,Lehigh,2525160
C.J. Watson,Orlando Magic,32,PG,32,43618,175,Tennessee,5000000
C.J. Wilcox,Los Angeles Clippers,30,SG,25,43621,195,Washington,1159680
Cameron Bairstow,Chicago Bulls,41,PF,25,43625,250,New Mexico,845059
Cameron Payne,Oklahoma City Thunder,22,PG,21,43619,185,Murray State,2021520
Carl Landry,Philadelphia 76ers,7,PF,32,43625,248,Purdue,6500000
Carmelo Anthony,New York Knicks,7,SF,32,43624,240,Syracuse,22875000
Caron Butler,Sacramento Kings,31,SF,36,43623,228,Connecticut,1449187
Chandler Parsons,Dallas Mavericks,25,SF,27,43626,230,Florida,15361500
Channing Frye,Cleveland Cavaliers,9,PF,33,43627,255,Arizona,8193029
Charlie Villanueva,Dallas Mavericks,3,PF,31,43627,232,Connecticut,947276
Chase Budinger,Phoenix Suns,10,SF,28,43623,209,Arizona,206192
Chris Andersen,Memphis Grizzlies,7,PF,37,43626,245,Blinn College,5000000
Chris Bosh,Miami Heat,1,PF,32,43627,235,Georgia Tech,22192730
Chris Johnson,Utah Jazz,23,SF,26,43622,206,Dayton,981348
Chris Kaman,Portland Trail Blazers,35,C,34,36708,265,Central Michigan,5016000
Chris McCullough,Brooklyn Nets,1,PF,21,43627,200,Syracuse,1140240
Chris Paul,Los Angeles Clippers,3,PG,31,36678,175,Wake Forest,21468695
Christian Wood,Philadelphia 76ers,35,PF,20,43627,220,UNLV,525093
Cleanthony Early,New York Knicks,11,SF,25,43624,210,Wichita State,845059
Cliff Alexander,Portland Trail Blazers,34,PF,20,43624,240,Kansas,525093
Cody Zeller,Charlotte Hornets,40,C,23,36708,240,Indiana,4204200
Cole Aldrich,Los Angeles Clippers,45,C,27,43627,250,Kansas,1100602
Corey Brewer,Houston Rockets,33,SG,30,43625,186,Florida,8229375
Cory Joseph,Toronto Raptors,6,PG,24,43619,190,Texas,7000000
Courtney Lee,Charlotte Hornets,1,SG,30,43621,200,Western Kentucky,5675000
D.J. Augustin,Denver Nuggets,12,PG,28,36678,183,Texas,3000000
Damian Lillard,Portland Trail Blazers,0,PG,25,43619,195,Weber State,4236287
